"b2","b1","ccf","lag","D","sd.D","x1","x2","num.matches","num.nonmatches","CNMS","S","CMS","data","resID","id.x","id.y","match","span","pred","forest","flagged","bullet"
"Ukn Bullet B-1","Br1 Bullet 2-5",0.372392788840147,195,1.70853859188683,1.86194114682202,125,125,4,19,11,4.31943156016522,2,"data-25-25/unkn1.RData",11,3,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br9 Bullet 2-1",0.314175094317971,203,1.90193330915062,1.90402619582409,175,125,6,17,11,7.19571256258211,3,"data-25-25/unkn1.RData",115,54,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br1 Bullet 2-2",0.17153479727613,116,3.54585421069303,2.30659651964894,175,125,4,25,8,5.31222017044955,1,"data-25-25/unkn1.RData",8,6,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br2 Bullet 2-4",0.240719642215261,190,1.21824785191346,1.58597300198469,175,125,10,16,7,7.12672454575984,5,"data-25-25/unkn1.RData",34,9,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br5 Bullet 2-6",0.163886333333928,242,1.88932245494598,1.80202531529524,150,125,5,14,9,3.10174586098209,3,"data-25-25/unkn1.RData",72,22,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br6 Bullet 2-6",0.267299276055606,241,1.22272818035468,1.58142387351622,125,125,6,18,6,4.23326234491315,2,"data-25-25/unkn1.RData",84,27,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br4 Bullet 1-3",0.270567180952997,155,1.1317403894446,1.54983257657324,100,125,9,16,11,4.06149373690596,5,"data-25-25/unkn1.RData",51,39,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br2 Bullet 1-4",0.296355063328126,247,2.84289298650987,2.43457755902603,200,125,4,25,15,0.389896156019463,2,"data-25-25/unkn1.RData",28,10,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br1 Bullet 1-3",0.3390205182755,199,1.9665137045798,1.94616659850648,100,125,4,20,8,5.03411189211872,1,"data-25-25/unkn1.RData",3,3,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br4 Bullet 2-5",0.243993769372159,159,1.07697753527721,1.51227547977734,125,125,12,15,5,7.00686791203349,5,"data-25-25/unkn1.RData",59,39,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br9 Bullet 1-6",0.316298702222047,194,1.65984524821032,1.80813501719245,150,125,6,15,8,5.88541217294855,3,"data-25-25/unkn1.RData",114,54,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br4 Bullet 2-6",0.204263689682533,277,1.0155927658766,1.44090331952234,200,125,8,17,12,5.4777356448295,5,"data-25-25/unkn1.RData",60,40,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br5 Bullet 2-3",0.195887376168452,95,0.826851266134621,1.35896467648392,150,125,3,24,13,2.552271573619,3,"data-25-25/unkn1.RData",69,19,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br9 Bullet 1-1",0.26314339857374,157,3.34253340974676,2.49655752266014,175,125,6,20,9,4.5840382302878,2,"data-25-25/unkn1.RData",109,49,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
