"b2","b1","ccf","lag","distr.dist","distr.sd","x1","x2","num.matches","num.mismatches","non_cms","sumpeaks","cms","data","resID","id.x","id.y","match","pred","forest","bullet"
"Ukn Bullet B-1","Br10 Bullet 2-3",0.164943503550547,64,0.705201020120064,1.20276208443357,125,125,7,31,18,6.60317588718422,5,"data-15-25/unkn1.RData",21,55,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br9 Bullet 1-2",0.407378869206029,183,8.41347366742513,3.50317414622143,175,125,2,32,16,3.21128268467185,1,"data-15-25/unkn1.RData",110,50,38,FALSE,0.00405087140838436,0.0210526315789474,"Ukn Bullet B"
"Ukn Bullet B-1","Br6 Bullet 1-4",0.163349835456819,270,1.25044840067579,1.52558864850544,225,125,5,29,13,4.14633029898715,2,"data-15-25/unkn1.RData",76,28,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br8 Bullet 1-6",0.28397808826288,222,0.909999114655089,1.42465020952109,125,125,11,22,8,6.17359322489113,4,"data-15-25/unkn1.RData",102,48,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br8 Bullet 1-5",0.258742424952795,283,1.11373275387629,1.55718573090436,100,125,1,38,34,0.0771268341973745,1,"data-15-25/unkn1.RData",101,47,38,FALSE,0.00405087140838436,0.00900900900900901,"Ukn Bullet B"
"Ukn Bullet B-1","Br7 Bullet 2-2",0.329174365378278,374,1.62812530529573,1.76310479724733,200,125,7,24,13,6.0567832107272,6,"data-15-25/unkn1.RData",92,31,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br9 Bullet 2-3",0.235284831458201,165,3.58593876009898,2.67882407092911,175,125,11,28,7,16.4961056103389,4,"data-15-25/unkn1.RData",117,50,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br4 Bullet 2-6",0.204263689682473,277,1.01559276587668,1.44090331952231,200,125,13,23,12,9.78298977284632,4,"data-15-25/unkn1.RData",60,40,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br7 Bullet 2-3",0.229167695892486,267,2.96045325802284,2.21806054350466,150,125,9,28,13,6.89151304415338,3,"data-15-25/unkn1.RData",93,32,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br3 Bullet 1-5",0.407009861457581,122,1.66257449042497,1.91630804363567,125,125,12,25,7,7.82513726400922,4,"data-15-25/unkn1.RData",41,17,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
